,lat,city,temp_max,humidity,wind,cloudiness,Date,country
88,-5.2,touros,75.2,88.0,8.05,20.0,1567474643.0,BR
89,-15.63,urubicha,74.69,55.0,0.27,0.0,1567474648.0,BO
90,51.98,wageningen,62.01,76.0,9.17,90.0,1567475037.0,NL
91,,burica,,,,,,
92,21.46,cockburn town,82.79,80.0,12.26,0.0,1567475047.0,TC
93,,asau,,,,,,
94,,barentsburg,,,,,,
95,12.52,oranjestad,84.2,79.0,18.34,20.0,1567474871.0,AW
96,-23.35,vangaindrano,63.17,95.0,1.74,0.0,1567475068.0,MG
97,-45.87,comodoro rivadavia,39.2,60.0,11.41,0.0,1567474818.0,AR
98,-34.05,plettenberg bay,52.19,69.0,2.42,0.0,1567475079.0,ZA
99,-23.53,emerald,82.99,13.0,13.87,0.0,1567475084.0,AU
100,-42.48,castro,41.0,86.0,6.93,75.0,1567475089.0,CL
101,55.1,la ronge,46.79,97.0,3.89,100.0,1567475094.0,CA
102,-46.43,mar del plata,38.33,49.0,18.01,0.0,1567474999.0,AR
103,50.1,sioux lookout,48.59,57.0,5.26,100.0,1567475105.0,CA
104,-36.63,coihueco,48.2,45.0,8.05,0.0,1567475110.0,CL
105,-33.64,busselton,59.0,42.0,15.84,31.0,1567475115.0,AU
106,19.71,hilo,86.0,58.0,9.17,1.0,1567475120.0,US
107,72.79,upernavik,42.11,56.0,8.63,76.0,1567475126.0,GL
108,70.47,clyde river,39.2,86.0,4.7,90.0,1567475131.0,CA
109,10.57,kavaratti,82.07,81.0,16.22,85.0,1567475136.0,IN
110,62.23,klaksvik,41.0,93.0,10.27,10.0,1567475141.0,FO
111,,sakakah,,,,,,
112,,ambodifototra,,,,,,
113,-5.09,paita,62.45,92.0,12.1,63.0,1567475157.0,PE
114,25.81,chenzhou,73.79,84.0,5.37,100.0,1567475162.0,CN
115,30.59,behbahan,86.0,25.0,13.87,0.0,1567475167.0,IR
116,-45.58,coihaique,32.0,97.0,2.24,0.0,1567475172.0,CL
117,37.83,waynesville,78.8,74.0,4.27,1.0,1567475177.0,US
118,17.65,yarada,78.8,94.0,2.24,75.0,1567475183.0,IN
119,-33.69,chuy,45.71,87.0,15.21,97.0,1567475188.0,UY
120,53.05,petropavlovsk-kamchatskiy,55.4,93.0,6.71,90.0,1567475193.0,RU
121,-23.87,inhambane,59.39,94.0,3.78,0.0,1567474978.0,MZ
122,-38.31,barrow,37.43,81.0,10.67,97.0,1567475203.0,AR
123,-43.03,margate,62.01,44.0,9.17,75.0,1567475209.0,AU
124,20.52,atar,85.13,53.0,20.94,28.0,1567475214.0,MR
125,63.83,hovd,51.01,86.0,12.75,0.0,1567475219.0,NO
126,-7.74,casa grande,62.6,88.0,8.05,90.0,1567475050.0,PE
127,-2.8,barreirinha,80.81,64.0,0.98,100.0,1567475229.0,BR
128,62.16,vestmanna,41.0,93.0,8.68,0.0,1567475235.0,FO
129,25.27,dubai,93.2,36.0,6.93,0.0,1567475240.0,AE
130,49.78,chapais,37.97,78.0,4.88,0.0,1567475245.0,CA
131,64.86,college,69.8,37.0,4.7,75.0,1567475250.0,US
132,-16.99,mareeba,82.0,47.0,17.22,40.0,1567475255.0,AU
133,71.64,tiksi,42.65,78.0,7.09,88.0,1567475261.0,RU
134,-19.55,isangel,75.2,88.0,11.41,90.0,1567475266.0,VU
135,,mys shmidta,,,,,,
136,57.9,ullapool,53.01,94.0,3.33,100.0,1567475276.0,GB
137,35.03,fukue,93.0,74.0,3.36,20.0,1567475281.0,JP
138,5.38,sinnamary,81.71,81.0,14.12,40.0,1567475287.0,GF
139,62.58,roald,51.8,76.0,6.93,40.0,1567475292.0,NO
140,50.68,severo-kurilsk,50.03,96.0,22.01,100.0,1567475297.0,RU
141,-20.25,praia,73.4,56.0,5.82,0.0,1567475302.0,BR
142,,labutta,,,,,,
143,27.87,adrar,86.0,33.0,16.11,68.0,1567475313.0,DZ
144,77.48,qaanaaq,31.49,53.0,7.02,19.0,1567475318.0,GL
145,-16.7,fare,76.67,80.0,24.38,100.0,1567475323.0,PF
146,38.52,ribeira grande,72.35,85.0,16.15,1.0,1567475328.0,PT
147,-21.16,nioaque,73.61,62.0,4.34,0.0,1567475334.0,BR
148,-21.21,avarua,73.4,53.0,13.87,100.0,1567475339.0,CK
149,28.33,bayonet point,82.99,94.0,3.36,1.0,1567475344.0,US
150,27.97,guerrero negro,71.99,82.0,11.43,0.0,1567475349.0,MX
151,58.38,vanersborg,57.0,87.0,9.17,77.0,1567475354.0,SE
152,-34.58,flinders,75.0,26.0,3.36,0.0,1567475360.0,AU
153,-20.01,grand gaube,69.01,82.0,5.82,75.0,1567475365.0,MU
154,19.93,tomatlan,82.61,81.0,11.68,23.0,1567475370.0,MX
155,60.82,hay river,51.8,81.0,10.29,90.0,1567475375.0,CA
156,44.86,tekeli,71.99,27.0,4.52,92.0,1567475381.0,KZ
157,64.25,hofn,28.07,80.0,9.46,0.0,1567475386.0,IS
158,46.54,marquette,55.4,81.0,4.7,40.0,1567475391.0,US
159,6.8,georgetown,82.4,78.0,9.17,40.0,1567475396.0,GY
160,50.78,genhe,74.15,55.0,0.63,28.0,1567475401.0,CN
161,-29.95,coquimbo,53.6,81.0,3.36,90.0,1567475407.0,CL
162,54.79,wladyslawowo,55.99,87.0,2.24,0.0,1567475412.0,PL
163,59.0,stavern,55.0,87.0,4.7,100.0,1567475417.0,NO
164,,bolshegrivskoye,,,,,,
165,42.77,muros,73.0,87.0,4.7,0.0,1567475427.0,ES
166,45.36,saint-philippe,64.99,100.0,5.48,90.0,1567475433.0,CA
167,50.72,solnechnyy,69.65,46.0,4.12,0.0,1567475438.0,RU
168,59.63,peleduy,61.73,46.0,8.14,51.0,1567475443.0,RU
169,-2.08,sungaipenuh,84.23,66.0,3.65,64.0,1567475327.0,ID
170,-2.87,morros,80.6,83.0,11.41,0.0,1567475453.0,BR
171,1.23,basoko,70.73,94.0,0.72,100.0,1567475459.0,CD
172,,nizhneyansk,,,,,,
173,38.18,morehead,73.4,78.0,2.53,1.0,1567475399.0,US
174,68.05,ostrovnoy,57.23,83.0,17.56,90.0,1567475474.0,RU
175,-33.02,east london,50.39,83.0,4.74,0.0,1567475479.0,ZA
176,6.88,dhidhdhoo,81.89,78.0,8.93,51.0,1567475484.0,MV
177,-22.97,arraial do cabo,69.8,88.0,5.82,20.0,1567475490.0,BR
178,-8.93,airai,81.71,46.0,6.22,0.0,1567475495.0,TL
179,-29.46,moree,75.99,13.0,13.87,0.0,1567475395.0,AU
180,-3.75,iquitos,78.8,83.0,2.24,0.0,1567475505.0,PE
181,64.84,fairbanks,69.8,37.0,4.7,75.0,1567475347.0,US
182,31.86,jericho,77.0,78.0,5.82,40.0,1567475516.0,PS
183,-8.27,porto walter,78.29,64.0,1.34,62.0,1567475521.0,BR
184,47.66,torbay,57.99,93.0,11.41,75.0,1567475526.0,CA
185,69.7,pevek,37.25,79.0,8.72,0.0,1567475531.0,RU
186,27.15,minab,84.2,83.0,7.58,12.0,1567475537.0,IR
187,60.8,svirstroy,55.25,94.0,5.48,64.0,1567475542.0,RU
188,-46.13,tuatapere,59.0,57.0,4.0,26.0,1567475547.0,NZ
189,,tungkang,,,,,,
190,-20.63,ponta do sol,69.11,59.0,2.04,10.0,1567475557.0,BR
191,,kazalinsk,,,,,,
192,-16.48,faanui,77.57,81.0,23.69,100.0,1567475568.0,PF
193,2.82,boa vista,86.0,62.0,5.82,0.0,1567475573.0,BR
194,8.09,turbo,78.8,88.0,8.05,40.0,1567475578.0,CO
195,35.34,moore,84.99,74.0,8.05,1.0,1567475584.0,US
196,10.31,miri,71.09,91.0,3.36,87.0,1567475589.0,NG
197,-7.96,kerema,75.77,80.0,18.45,91.0,1567475594.0,PG
198,70.62,chokurdakh,49.49,51.0,5.03,100.0,1567475599.0,RU
199,63.05,beringovskiy,43.73,91.0,9.71,100.0,1567475604.0,RU
200,-12.05,maningrida,83.33,48.0,15.19,0.0,1567475610.0,AU
201,69.97,alta,51.8,93.0,12.75,100.0,1567475615.0,NO
202,11.59,bahir dar,55.61,93.0,4.65,49.0,1567475620.0,ET
203,,palabuhanratu,,,,,,
204,16.86,acapulco,86.0,70.0,9.17,75.0,1567475630.0,MX
205,39.62,vardo,73.0,100.0,4.52,75.0,1567475636.0,US
206,-30.97,carnarvon,49.85,22.0,5.61,0.0,1567475641.0,ZA
207,12.63,mamallapuram,82.4,83.0,5.82,75.0,1567475646.0,IN
208,19.91,lingao,84.05,79.0,30.91,99.0,1567475651.0,CN
209,62.93,seymchan,57.77,40.0,5.48,92.0,1567475656.0,RU
210,-37.83,mount gambier,57.2,76.0,10.29,75.0,1567475662.0,AU
211,52.82,zhireken,71.27,55.0,1.95,70.0,1567475667.0,RU
212,17.54,san quintin,84.05,72.0,10.04,100.0,1567475672.0,PH
213,5.28,victoria,86.0,70.0,2.24,75.0,1567475677.0,BN
214,62.63,harnosand,50.0,93.0,2.24,1.0,1567475682.0,SE
215,50.7,port hardy,59.0,87.0,5.82,20.0,1567475688.0,CA
216,54.15,malinovskiy,59.39,89.0,3.69,71.0,1567475693.0,RU
217,-8.05,trenggalek,80.45,54.0,6.11,0.0,1567475698.0,ID
218,,zachagansk,,,,,,
